cohort	cliff_delta	ci_low	ci_high	n_advanced	n_early
Strict TCGA	0.11609907120743033	-0.18424922600619192	0.4210913312693493	76	17
GSE41613	0.3588850174216028	0.1332752613240418	0.568837108013937	56	41
Expanded TCGA	0.22424783273839877	0.0687053799082101	0.3698559408465066	212	74
